2026-09-21 01:02:57 | INFO     | __main__ | Получены карточки: [Item(title='A Light in the Attic', url='https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html', price=Decimal('51.77'), currency='GBP', in_stock=True, rating=3, image_url='https://books.toscrape.com/media/cache/2c/da/2cdad67c44b002e7ead0cc35693c0e8b.jpg', description=None, category=None, sku=None, scraped_at=datetime.datetime(2026, 9, 20, 22, 2, 57, 315590, tzinfo=datetime.timezone.utc), source='books.toscrape.com'), Item(title='Tipping the Velvet', url='https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html', price=Decimal('53.74'), currency='GBP', in_stock=True, rating=1, image_url='https://books.toscrape.com/media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg', description=None, category=None, sku=None, scraped_at=datetime.datetime(2026, 9, 20, 22, 2, 57, 315958, tzinfo=datetime.timezone.utc), source='books.toscrape.com'), Item(title='Soumission', url='https://books.toscrape.com/catalogue/soumission_998/index.html', price=Decimal('50.10'), currency='GBP', in_stock=True, rating=1, image_url='https://books.toscrape.com/media/cache/3e/ef/3eef99c9d9adef34639f510662022830.jpg', description=None, category=None, sku=None, scraped_at=datetime.datetime(2026, 9, 20, 22, 2, 57, 316475, tzinfo=datetime.timezone.utc), source='books.toscrape.com'), Item(title='Sharp Objects', url='https://books.toscrape.com/catalogue/sharp-objects_997/index.html', price=Decimal('47.82'), currency='GBP', in_stock=True, rating=4, image_url='https://books.toscrape.com/media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg', description=None, category=None, sku=None, scraped_at=datetime.datetime(2026, 9, 20, 22, 2, 57, 317232, tzinfo=datetime.timezone.utc), source='books.toscrape.com'), Item(title='Sapiens: A Brief History of Humankind', url='https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html', price=Decimal('54.23'), currency='GBP', in_stock=True, rating=5, image_url='https://books.toscrape.com/media/cache/be/a5/bea5697f2534a2f86a3ef27b5a8c12a6.jpg', description=None, category=None, sku=None, scraped_at=datetime.datetime(2026, 9, 20, 22, 2, 57, 317927, tzinfo=datetime.timezone.utc), source='books.toscrape.com'), Item(title='The Requiem Red', url='https://books.toscrape.com/catalogue/the-requiem-red_995/index.html', price=Decimal('22.65'), currency='GBP', in_stock=True, rating=1, image_url='https://books.toscrape.com/media/cache/68/33/68339b4c9bc034267e1da611ab3b34f8.jpg', description=None, category=None, sku=None, scraped_at=datetime.datetime(2026, 9, 20, 22, 2, 57, 318529, tzinfo=datetime.timezone.utc), source='books.toscrape.com'), Item(title='The Dirty Little Secrets of Getting Your Dream Job', url='https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html', price=Decimal('33.34'), currency='GBP', in_stock=True, rating=4, image_url='https://books.toscrape.com/media/cache/92/27/92274a95b7c251fea59a2b8a78275ab4.jpg', description=None, category=None, sku=None, scraped_at=datetime.datetime(2026, 9, 20, 22, 2, 57, 319092, tzinfo=datetime.timezone.utc), source='books.toscrape.com'), Item(title='The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull', url='https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html', price=Decimal('17.93'), currency='GBP', in_stock=True, rating=3, image_url='https://books.toscrape.com/media/cache/3d/54/3d54940e57e662c4dd1f3ff00c78cc64.jpg', description=None, category=None, sku=None, scraped_at=datetime.datetime(2026, 9, 20, 22, 2, 57, 319640, tzinfo=datetime.timezone.utc), source='books.toscrape.com'), Item(title='The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics', url='https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html', price=Decimal('22.60'), currency='GBP', in_stock=True, rating=4, image_url='https://books.toscrape.com/media/cache/66/88/66883b91f6804b2323c8369331cb7dd1.jpg', description=None, category=None, sku=None, scraped_at=datetime.datetime(2026, 9, 20, 22, 2, 57, 320226, tzinfo=datetime.timezone.utc), source='books.toscrape.com'), Item(title='The Black Maria', url='https://books.toscrape.com/catalogue/the-black-maria_991/index.html', price=Decimal('52.15'), currency='GBP', in_stock=True, rating=1, image_url='https://books.toscrape.com/media/cache/58/46/5846057e28022268153beff6d352b06c.jpg', description=None, category=None, sku=None, scraped_at=datetime.datetime(2026, 9, 20, 22, 2, 57, 321007, tzinfo=datetime.timezone.utc), source='books.toscrape.com'), Item(title='Starving Hearts (Triangular Trade Trilogy, #1)', url='https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html', price=Decimal('13.99'), currency='GBP', in_stock=True, rating=2, image_url='https://books.toscrape.com/media/cache/be/f4/bef44da28c98f905a3ebec0b87be8530.jpg', description=None, category=None, sku=None, scraped_at=datetime.datetime(2026, 9, 20, 22, 2, 57, 321520, tzinfo=datetime.timezone.utc), source='books.toscrape.com'), Item(title="Shakespeare's Sonnets", url='https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html', price=Decimal('20.66'), currency='GBP', in_stock=True, rating=4, image_url='https://books.toscrape.com/media/cache/10/48/1048f63d3b5061cd2f424d20b3f9b666.jpg', description=None, category=None, sku=None, scraped_at=datetime.datetime(2026, 9, 20, 22, 2, 57, 322022, tzinfo=datetime.timezone.utc), source='books.toscrape.com'), Item(title='Set Me Free', url='https://books.toscrape.com/catalogue/set-me-free_988/index.html', price=Decimal('17.46'), currency='GBP', in_stock=True, rating=5, image_url='https://books.toscrape.com/media/cache/5b/88/5b88c52633f53cacf162c15f4f823153.jpg', description=None, category=None, sku=None, scraped_at=datetime.datetime(2026, 9, 20, 22, 2, 57, 322491, tzinfo=datetime.timezone.utc), source='books.toscrape.com'), Item(title="Scott Pilgrim's Precious Little Life (Scott Pilgrim #1)", url='https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html', price=Decimal('52.29'), currency='GBP', in_stock=True, rating=5, image_url='https://books.toscrape.com/media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg', description=None, category=None, sku=None, scraped_at=datetime.datetime(2026, 9, 20, 22, 2, 57, 322935, tzinfo=datetime.timezone.utc), source='books.toscrape.com'), Item(title='Rip it Up and Start Again', url='https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html', price=Decimal('35.02'), currency='GBP', in_stock=True, rating=5, image_url='https://books.toscrape.com/media/cache/81/c4/81c4a973364e17d01f217e1188253d5e.jpg', description=None, category=None, sku=None, scraped_at=datetime.datetime(2026, 9, 20, 22, 2, 57, 323375, tzinfo=datetime.timezone.utc), source='books.toscrape.com'), Item(title='Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991', url='https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html', price=Decimal('57.25'), currency='GBP', in_stock=True, rating=3, image_url='https://books.toscrape.com/media/cache/54/60/54607fe8945897cdcced0044103b10b6.jpg', description=None, category=None, sku=None, scraped_at=datetime.datetime(2026, 9, 20, 22, 2, 57, 323829, tzinfo=datetime.timezone.utc), source='books.toscrape.com'), Item(title='Olio', url='https://books.toscrape.com/catalogue/olio_984/index.html', price=Decimal('23.88'), currency='GBP', in_stock=True, rating=1, image_url='https://books.toscrape.com/media/cache/55/33/553310a7162dfbc2c6d19a84da0df9e1.jpg', description=None, category=None, sku=None, scraped_at=datetime.datetime(2026, 9, 20, 22, 2, 57, 324251, tzinfo=datetime.timezone.utc), source='books.toscrape.com'), Item(title='Mesaerion: The Best Science Fiction Stories 1800-1849', url='https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html', price=Decimal('37.59'), currency='GBP', in_stock=True, rating=1, image_url='https://books.toscrape.com/media/cache/09/a3/09a3aef48557576e1a85ba7efea8ecb7.jpg', description=None, category=None, sku=None, scraped_at=datetime.datetime(2026, 9, 20, 22, 2, 57, 325245, tzinfo=datetime.timezone.utc), source='books.toscrape.com'), Item(title='Libertarianism for Beginners', url='https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html', price=Decimal('51.33'), currency='GBP', in_stock=True, rating=2, image_url='https://books.toscrape.com/media/cache/0b/bc/0bbcd0a6f4bcd81ccb1049a52736406e.jpg', description=None, category=None, sku=None, scraped_at=datetime.datetime(2026, 9, 20, 22, 2, 57, 325788, tzinfo=datetime.timezone.utc), source='books.toscrape.com'), Item(title="It's Only the Himalayas", url='https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html', price=Decimal('45.17'), currency='GBP', in_stock=True, rating=2, image_url='https://books.toscrape.com/media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg', description=None, category=None, sku=None, scraped_at=datetime.datetime(2026, 9, 20, 22, 2, 57, 326249, tzinfo=datetime.timezone.utc), source='books.toscrape.com')]
2026-09-21 01:02:57 | INFO     | __main__ | Готово
2026-09-21 01:06:00 | INFO     | __main__ | Старт парсера. base_url=https://books.toscrape.com
2026-09-21 01:06:00 | DEBUG    | parser.utils.http_client | GET https://books.toscrape.com (timeout=10.0)
2026-09-21 01:06:01 | INFO     | parser.utils.http_client | GET https://books.toscrape.com -> 200: OK
2026-09-21 01:06:01 | INFO     | __main__ | Получено 51294 символов
2026-09-21 01:06:01 | INFO     | parser.parsers.book_list | Найдено 20 карточек
2026-09-21 01:06:01 | INFO     | parser.parsers.book_list | Разобрано 20 из 20 карточек
2026-09-21 01:06:01 | DEBUG    | __main__ | Получена карточка 0: Item(title='A Light in the Attic', url='https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html', price=Decimal('51.77'), currency='GBP', in_stock=True, rating=3, image_url='https://books.toscrape.com/media/cache/2c/da/2cdad67c44b002e7ead0cc35693c0e8b.jpg', description=None, category=None, sku=None, scraped_at=datetime.datetime(2026, 9, 20, 22, 6, 1, 518734, tzinfo=datetime.timezone.utc), source='books.toscrape.com')
2026-09-21 01:06:01 | DEBUG    | __main__ | Получена карточка 1: Item(title='Tipping the Velvet', url='https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html', price=Decimal('53.74'), currency='GBP', in_stock=True, rating=1, image_url='https://books.toscrape.com/media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg', description=None, category=None, sku=None, scraped_at=datetime.datetime(2026, 9, 20, 22, 6, 1, 519048, tzinfo=datetime.timezone.utc), source='books.toscrape.com')
